Collab,Article,laureate
susan athey,synthetic difference in differences,guido imbens
david a hirshberg,synthetic difference in differences,guido imbens
stefan wager,synthetic difference in differences,guido imbens
dmitry arkhangelsky,synthetic difference-in-differences,guido imbens
susan athey,synthetic difference-in-differences,guido imbens
david a hirshberg,synthetic difference-in-differences,guido imbens
stefan wager,synthetic difference-in-differences,guido imbens
susan athey,using wasserstein generative adversarial networks for the design of monte carlo simulations,guido imbens
jonas metzger,using wasserstein generative adversarial networks for the design of monte carlo simulations,guido imbens
evan m munro,using wasserstein generative adversarial networks for the design of monte carlo simulations,guido imbens
susan athey,machine learning methods economists should know about,guido imbens
ruoxuan xiong,optimal experimental design for staggered rollouts,guido imbens
susan athey,optimal experimental design for staggered rollouts,guido imbens
mohsen bayati,optimal experimental design for staggered rollouts,guido imbens
dmitry arkhangelsky,the role of the propensity score in fixed effect models,guido imbens
susan athey,ensemble methods for causal effects in panel data settings,guido imbens
mohsen bayati,ensemble methods for causal effects in panel data settings,guido imbens
zhaonan qu,ensemble methods for causal effects in panel data settings,guido imbens
konrad menzel,a causal bootstrap,guido imbens
susan athey,design-based analysis in difference-in-differences settings with staggered adoption,guido imbens
dmitry arkhangelsky,fixed effects and the generalized mundlak estimator,guido imbens
susan athey,matrix completion methods for causal panel data models,guido imbens
mohsen bayati,matrix completion methods for causal panel data models,guido imbens
nikolay doudchenko,matrix completion methods for causal panel data models,guido imbens
khashayar khosravi,matrix completion methods for causal panel data models,guido imbens
maria dimakopoulou,estimation considerations in contextual bandits,guido imbens
zhengyuan zhou,estimation considerations in contextual bandits,guido imbens
susan athey,estimation considerations in contextual bandits,guido imbens
daniel j benjamin,redefine statistical significance,guido imbens
james o berger,redefine statistical significance,guido imbens
magnus johannesson,redefine statistical significance,guido imbens
brian a nosek,redefine statistical significance,guido imbens
e-j wagenmakers,redefine statistical significance,guido imbens
richard berk,redefine statistical significance,guido imbens
kenneth a bollen,redefine statistical significance,guido imbens
björn brembs,redefine statistical significance,guido imbens
lawrence brown,redefine statistical significance,guido imbens
colin camerer,redefine statistical significance,guido imbens
david cesarini,redefine statistical significance,guido imbens
christopher chambe,redefine statistical significance,guido imbens
chr,redefine statistical significance,guido imbens
alberto abadie,sampling-based vs design-based uncertainty in regression analysis,guido imbens
susan athey,sampling-based vs design-based uncertainty in regression analysis,guido imbens
jeffrey wooldridge,sampling-based vs design-based uncertainty in regression analysis,guido imbens
alberto abadie,when should you adjust standard errors for clustering?,guido imbens
susan athey,when should you adjust standard errors for clustering?,guido imbens
jeffrey wooldridge,when should you adjust standard errors for clustering?,guido imbens
